,PB,PE
2025-01-31,0.6193753824301061,7.082349678565716
2025-02-28,0.6261709800628756,7.219381167970855
2025-03-31,0.5870504935442508,6.829924007941937
2025-04-30,0.5558427328328981,6.5232679761689285
2025-05-31,0.6155324884353063,7.288342508776435
2025-06-30,0.6426698064410636,7.674906171601394
2025-07-31,0.6444274874554919,7.763494294265222
2025-08-31,0.75948037443295,9.22921608234274
2025-09-30,0.8149683997073884,9.986236177641771
2025-10-31,0.7089997872495292,8.762117912029398
2025-11-30,0.6424670428261547,8.005096172464306
2025-12-31,0.655050138034813,5.616168975830078
2026-01-31,0.6781242892987555,5.813998615040499
2026-02-28,0.6364626109365904,5.45680607066435
